epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,18732.3,0.94417,0.41604,0.90096,0.90747,0.90102,0.91127,0.63082,1.18551,0.52256,1.09195,0.0005325,0.0001775,0.0005325,0.0001775,0.0005325,0.0001775,0.0005325,0.0001775
67,19012.5,0.92369,0.40808,0.89536,0.91718,0.8931,0.91281,0.63267,1.18251,0.52436,1.09022,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
68,19292.8,0.91751,0.40631,0.89455,0.91447,0.89917,0.91311,0.63296,1.18044,0.52381,1.09055,0.0004335,0.0001445,0.0004335,0.0001445,0.0004335,0.0001445,0.0004335,0.0001445
69,19572.8,0.90666,0.39986,0.8898,0.91879,0.89798,0.9144,0.63263,1.17711,0.52186,1.09475,0.000384,0.000128,0.000384,0.000128,0.000384,0.000128,0.000384,0.000128
70,19853.9,0.90497,0.39955,0.88885,0.91086,0.89924,0.91521,0.63405,1.17929,0.52331,1.09635,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
71,20135,0.89644,0.39557,0.88734,0.9134,0.89836,0.91546,0.63536,1.17731,0.52153,1.09769,0.000285,9.5e-05,0.000285,9.5e-05,0.000285,9.5e-05,0.000285,9.5e-05
72,20415.7,0.8902,0.39642,0.88564,0.91389,0.89855,0.91458,0.63536,1.17588,0.52425,1.09759,0.0002355,7.85e-05,0.0002355,7.85e-05,0.0002355,7.85e-05,0.0002355,7.85e-05
73,20696.2,0.8824,0.39128,0.88343,0.91394,0.89436,0.91215,0.63374,1.17613,0.52369,1.09673,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
74,20976.4,0.88163,0.39018,0.88366,0.91445,0.89094,0.90983,0.63376,1.17607,0.52442,1.09719,0.0001365,4.55e-05,0.0001365,4.55e-05,0.0001365,4.55e-05,0.0001365,4.55e-05
75,21256.6,0.87497,0.38731,0.88295,0.91478,0.8939,0.91142,0.63372,1.1746,0.52457,1.09799,8.7e-05,2.9e-05,8.7e-05,2.9e-05,8.7e-05,2.9e-05,8.7e-05,2.9e-05
